0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
211.0,185.0,120.0,0.0,6.0,30.0,1.0,46.0,7.0,13.0,5.0,2.0,0.0,26.0,2.0,815.0,14.2308,4.40541,0.0,0.263158,0.648649
289.0,254.0,163.0,0.0,0.0,56.0,8.0,64.0,11.0,18.0,11.0,1.0,0.0,20.0,2.5,1205.0,18.1429,4.74409,0.00787402,0.241667,0.641732
304.0,275.0,170.0,0.0,0.0,45.0,1.0,88.0,9.0,8.0,8.0,0.0,0.0,18.0,1.8125,1344.0,17.1875,4.88727,0.00363636,0.12782,0.618182
639.0,572.0,316.0,1.0,14.0,87.0,7.0,175.0,39.0,21.0,14.0,0.0,0.0,34.0,2.68,3122.0,22.88,5.45804,0.00174825,0.229008,0.552448
128.0,111.0,82.0,0.0,1.0,21.0,0.0,31.0,6.0,8.0,1.0,1.0,0.0,12.0,0.894737,515.0,5.84211,4.63964,0.0,0.269231,0.738739
103.0,93.0,68.0,0.0,0.0,14.0,0.0,27.0,6.0,5.0,3.0,0.0,0.0,4.0,1.25,510.0,11.625,5.48387,0.0107527,0.268293,0.731183
109.0,96.0,79.0,0.0,0.0,17.0,0.0,26.0,7.0,6.0,2.0,0.0,0.0,1.0,1.18182,505.0,8.72727,5.26042,0.0,0.302326,0.822917
242.0,209.0,150.0,0.0,5.0,31.0,1.0,57.0,20.0,15.0,5.0,0.0,0.0,11.0,2.53846,1074.0,16.0769,5.13876,0.0,0.397727,0.717703
105.0,79.0,48.0,0.0,3.0,17.0,1.0,20.0,3.0,5.0,2.0,0.0,0.0,12.0,1.44444,323.0,4.38889,4.08861,0.0,0.216216,0.607595
207.0,188.0,124.0,0.0,3.0,26.0,0.0,54.0,14.0,6.0,0.0,0.0,0.0,9.0,2.375,852.0,23.5,4.53191,0.0,0.25,0.659574
303.0,255.0,165.0,1.0,1.0,31.0,0.0,69.0,9.0,12.0,7.0,0.0,0.0,3.0,2.52632,1171.0,13.4211,4.59216,0.0196078,0.21,0.647059
179.0,151.0,110.0,0.0,1.0,27.0,1.0,46.0,6.0,3.0,4.0,1.0,0.0,10.0,1.47368,772.0,7.94737,5.11258,0.0,0.123288,0.728477
217.0,182.0,124.0,0.0,3.0,30.0,4.0,42.0,5.0,13.0,1.0,4.0,0.0,23.0,2.91667,748.0,15.1667,4.10989,0.00549451,0.25,0.681319
179.0,152.0,101.0,0.0,7.0,23.0,0.0,52.0,6.0,2.0,2.0,0.0,0.0,3.0,3.85714,812.0,21.7143,5.34211,0.0,0.106667,0.664474
117.0,97.0,74.0,0.0,0.0,19.0,0.0,28.0,6.0,2.0,1.0,0.0,0.0,7.0,2.0,491.0,9.7,5.06186,0.0,0.170213,0.762887
858.0,719.0,412.0,1.0,0.0,150.0,4.0,153.0,42.0,60.0,18.0,2.0,0.0,72.0,1.37624,3375.0,7.11881,4.69402,0.00834492,0.336634,0.573018
219.0,175.0,118.0,1.0,2.0,33.0,3.0,53.0,8.0,9.0,6.0,0.0,0.0,13.0,1.83333,839.0,7.29167,4.79429,0.0114286,0.197674,0.674286
133.0,103.0,77.0,0.0,0.0,21.0,0.0,29.0,5.0,9.0,1.0,0.0,0.0,5.0,2.5,482.0,8.58333,4.67961,0.0,0.28,0.747573
573.0,478.0,297.0,1.0,1.0,76.0,3.0,123.0,40.0,44.0,7.0,0.0,0.0,43.0,3.65385,2381.0,18.3846,4.98117,0.00209205,0.422111,0.621339
231.0,184.0,130.0,0.0,9.0,31.0,0.0,55.0,5.0,15.0,5.0,0.0,0.0,11.0,2.47368,843.0,9.68421,4.58152,0.0108696,0.232558,0.706522
270.0,219.0,137.0,0.0,2.0,33.0,1.0,68.0,16.0,10.0,5.0,0.0,0.0,13.0,2.68421,1039.0,11.5263,4.74429,0.0,0.257426,0.625571
109.0,85.0,56.0,0.0,1.0,17.0,0.0,23.0,0.0,2.0,2.0,3.0,0.0,9.0,2.0,395.0,7.08333,4.64706,0.0,0.05,0.658824
153.0,127.0,90.0,0.0,1.0,24.0,1.0,35.0,8.0,6.0,3.0,4.0,0.0,12.0,2.36364,556.0,11.5455,4.37795,0.0,0.237288,0.708661
199.0,170.0,120.0,0.0,2.0,27.0,1.0,52.0,10.0,9.0,6.0,0.0,0.0,14.0,1.70588,825.0,10.0,4.85294,0.00588235,0.240506,0.705882
347.0,311.0,178.0,0.0,3.0,46.0,0.0,87.0,19.0,5.0,7.0,0.0,0.0,13.0,2.0,1427.0,17.2778,4.58842,0.0,0.180451,0.572347
225.0,185.0,133.0,1.0,3.0,39.0,0.0,41.0,16.0,10.0,1.0,3.0,0.0,22.0,2.35294,884.0,10.8824,4.77838,0.0,0.325,0.718919
424.0,369.0,227.0,2.0,4.0,54.0,1.0,104.0,29.0,12.0,10.0,0.0,0.0,16.0,2.11538,1779.0,14.1923,4.82114,0.00271003,0.259494,0.615176
164.0,144.0,100.0,0.0,3.0,27.0,1.0,45.0,4.0,9.0,8.0,0.0,0.0,10.0,1.81818,747.0,13.0909,5.1875,0.0,0.180556,0.694444
